Agency,Commendation or Complaint,Subject Matter,Subject Detail,Issue Detail,Year,Quarter,Branch/Line/Route
Buses,Complaint,Employee,Bus Operator / Driver,Operating Performance,2019,4,Bx28
Buses,Complaint,Bus,,Appearance / Cleanliness,2019,4,S74
Buses,Complaint,Service,Scheduled Service,Operating Conditions / Availability,2019,4,B47
Buses,Complaint,Employee,Bus Operator / Driver,Customer Service / Behavior,2019,4,Q23
Buses,Complaint,Bus,Bus Stop,Security / Police Matters,2019,4,Q70-SBS
Buses,Complaint,Employee,Bus Operator / Driver,Operating Safety,2019,4,Q54
Buses,Complaint,Customer,,Customer Actions / Behavior,2019,4,Q83-LTD
Buses,Complaint,Bus,Customer Information Screen,Announcements / Messages,2019,4,M34-SBS
Buses,Complaint,Service,Operating Conditions / Availability,Late / Delay,2019,4,B43
NYC Buses,Complaint,Employees,Bus Operator / Driver,Other,2019,4,M11
NYC Buses,Complaint,Buses,Advertisements,Ad Content,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Ticket Machines,Add More / Not Enough,2019,4,No Value
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Website,Accuracy / Correctness - Visual / Text,2019,4,No Value
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Train - General,Missed Connection,2019,4,No Value
Long Island Rail Road,Complaint,Employees,Train Conductor,Rude / Inappropriate Language,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Station - General,Homeless Present,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Waiting Room / Area,Closed / Not Open / Locked,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Escalator,Not Working / Out of Service,2019,4,No Value
Long Island Rail Road,Complaint,Trains,Rail / Subway Cars,Crowding,2019,4,Long Beach
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Station - General,Duration of Construction,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Track / Right-of-Way,Litter / Garbage / Debris,2019,4,Long Beach
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Staircase,Smoke / Fumes / Smell / Odor,2019,4,City Terminal Zone
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Train - General,Equipment Breakdown,2019,4,Montauk
Long Island Rail Road,Complaint,Trains,Train - General,Graffiti,2019,4,No Value
Long Island Rail Road,Complaint,Trains,Rail / Subway Cars,Too Cold,2019,4,Port Jefferson
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Escalator,Accessibility Due To Construction,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Station - General,Volume Too High - Audio,2019,4,No Value
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Pedestrian Overpass / Underpass,Pigeons / Birds,2019,4,City Terminal Zone
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Website,No Announcement / Messages - Visual/Text,2019,4,Port Washington
Long Island Rail Road,Complaint,Trains,Rail / Subway Cars,Bumpy Ride / Vibrations,2019,4,Port Jefferson
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Train - General,Late / Delay Current,2019,4,Hempstead
Long Island Rail Road,Complaint,Station /Bus Stop /Facility /Structure,Public Address System,Improper Function/Needs Repair/Damaged,2019,4,No Value
Long Island Rail Road,Complaint,"Policies, Rules & Regulations",Fare / Toll Policy,Refund,2019,4,No Value
Long Island Rail Road,Complaint,Travel Disruption / Trip Problem,Train - General,Failure To Make Scheduled Stop,2019,4,Port Washington
Long Island Rail Road,Complaint,"Policies, Rules & Regulations",Fare / Toll Policy,Processing Fee,2019,4,No Value
Long Island Rail Road,Complaint,MetroCard/Tickets/E-Zpass & Tolls,Tickets,Not Received,2019,4,No Value
Long Island Rail Road,Complaint,MetroCard/Tickets/E-Zpass & Tolls,Tickets,Not Eligible / Account Suspended,2019,4,No Value
Long Island Rail Road,Complaint,Trains,Rail / Subway Cars,Unauthorized / Criminal Activity,2019,4,Port Washington
